time,lat,lon,region,season,split,sst_normalized,pc1,pc2
2023-12-16,17.25,71.5,arabian_sea,winter_monsoon_DJF,val,0.11388841466324721,0.78380513,2.103233
2021-06-19,7.5,69.25,arabian_sea,summer_monsoon_JJA,train,0.3852572032815481,1.8102983,2.9052882
2023-08-20,7.0,71.5,arabian_sea,summer_monsoon_JJA,val,0.7995272516822058,2.8717847,1.2907636
2023-12-22,16.75,90.5,bay_of_bengal,winter_monsoon_DJF,val,-0.6468096226416297,-2.2942953,2.0814376
2022-10-27,12.75,64.25,arabian_sea,post_monsoon_SON,train,0.29720692932154774,0.96329737,1.910568
2023-04-13,7.25,88.0,bay_of_bengal,pre_monsoon_MAM,val,1.296074191790808,3.3114252,0.28139812
2023-06-10,9.5,58.25,arabian_sea,summer_monsoon_JJA,val,0.2957634461003971,-1.8421617,0.70885
2024-01-22,9.5,64.5,arabian_sea,winter_monsoon_DJF,test,0.19760878959234246,3.311205,0.49025458
2024-08-25,6.0,97.0,bay_of_bengal,summer_monsoon_JJA,test,1.1805982872614929,3.5124192,0.19497645
2022-03-15,17.75,92.0,bay_of_bengal,pre_monsoon_MAM,train,-0.9788033299668893,-4.01181,2.786852
2023-05-17,6.25,61.25,arabian_sea,pre_monsoon_MAM,val,1.0535745169629727,4.6655436,0.51672536
2022-09-01,12.5,48.0,arabian_sea,post_monsoon_SON,train,1.2137973000828635,2.7323446,-4.7445354
2023-07-01,19.5,86.5,bay_of_bengal,summer_monsoon_JJA,val,0.7908666276715755,-1.8508867,-1.3022578
2022-03-07,18.75,70.0,arabian_sea,pre_monsoon_MAM,train,-0.7666159768343968,-2.777163,1.671858
2023-02-15,15.25,63.5,arabian_sea,winter_monsoon_DJF,val,-1.3468827412395477,-4.623454,1.7809968
2021-03-16,21.25,67.5,arabian_sea,pre_monsoon_MAM,train,-0.8445624188788895,-3.0161066,0.6372402
2022-11-12,15.75,54.5,arabian_sea,post_monsoon_SON,train,-0.4779259401948352,-3.1246357,2.0168972
2021-04-08,10.5,73.25,arabian_sea,pre_monsoon_MAM,train,0.6551822333624251,1.9213179,-0.43191767
2021-01-03,7.75,79.25,bay_of_bengal,winter_monsoon_DJF,train,-0.16469723942826003,2.8571715,-5.54515
2022-05-10,8.75,55.5,arabian_sea,pre_monsoon_MAM,train,1.37979429140363,1.0736706,1.3572042
2021-06-14,14.0,68.25,arabian_sea,summer_monsoon_JJA,train,0.7576673395339315,2.9854965,1.2496436
2021-03-08,14.25,91.25,bay_of_bengal,pre_monsoon_MAM,train,0.008516892681986205,1.7263687,-0.9707041
2021-05-30,24.25,60.25,arabian_sea,pre_monsoon_MAM,train,1.6266244158949172,1.8844877,-1.6539559
2021-12-23,6.75,84.5,bay_of_bengal,winter_monsoon_DJF,train,0.05037680483026048,1.4465458,-2.0316606
2024-01-18,11.5,59.25,arabian_sea,winter_monsoon_DJF,test,-0.5717504223557114,-1.3562131,1.8510329
2022-08-15,18.25,88.0,bay_of_bengal,summer_monsoon_JJA,train,0.34772719016417897,0.41581345,0.6273459
2024-02-21,5.5,82.25,bay_of_bengal,winter_monsoon_DJF,test,0.4126825585345896,1.86699,2.3007774
2023-12-14,15.5,62.25,arabian_sea,winter_monsoon_DJF,val,-0.9311694849340126,-2.672576,1.711478
2024-01-09,9.0,67.5,arabian_sea,winter_monsoon_DJF,test,0.697042696143246,2.6456046,1.372599
2021-05-19,11.0,82.5,bay_of_bengal,pre_monsoon_MAM,train,1.4490801094374925,3.739565,-3.096873
2024-11-16,15.5,89.75,bay_of_bengal,post_monsoon_SON,test,0.7562238563127809,3.5556483,-0.31811428
2021-09-21,7.75,65.75,arabian_sea,post_monsoon_SON,train,0.4761949943163964,1.6584404,1.287032
2024-10-06,12.0,91.0,bay_of_bengal,post_monsoon_SON,test,0.7389026082915203,2.9336042,1.2836437
2023-04-08,9.0,52.5,arabian_sea,pre_monsoon_MAM,val,0.7215813602702597,0.2181195,1.2869914
2022-02-02,19.75,61.0,arabian_sea,winter_monsoon_DJF,train,-2.111911778840423,-8.230747,0.4490589
2021-06-14,15.0,90.25,bay_of_bengal,summer_monsoon_JJA,train,0.9222208476335475,2.6591158,-1.6024272
2024-07-08,7.0,78.0,bay_of_bengal,summer_monsoon_JJA,test,0.4487690884308082,3.6019793,-1.7430336
2023-02-20,17.75,89.25,bay_of_bengal,winter_monsoon_DJF,val,-1.013446101325684,-4.860895,1.4589149
2021-02-03,15.5,92.75,bay_of_bengal,winter_monsoon_DJF,train,-0.9932376115458488,-4.438016,2.1685257
2023-04-05,16.5,83.25,bay_of_bengal,pre_monsoon_MAM,val,0.3217455934485614,-1.4920583,-4.788637
2023-10-25,9.25,84.5,bay_of_bengal,post_monsoon_SON,val,0.4776382022212737,-0.1420414,-2.412094
2023-07-08,18.75,87.75,bay_of_bengal,summer_monsoon_JJA,val,0.8716997608420962,0.0511944,-4.2534094
2023-09-08,7.5,62.75,arabian_sea,post_monsoon_SON,val,0.5122806982637949,0.35102093,0.83043796
